id1,id2,boundary
120,41,0.57735027
120,48,0.57735027
122,126,0.57735027
122,129,0.57735027
122,139,0.57735027
122,142,0.57735027
124,98,0.57735027
124,112,0.57735027
129,158,0.57735027
129,170,0.57735027
129,215,0.57735027
129,216,0.57735027
131,42,0.57735027
131,99,0.57735027
134,169,0.57735027
134,173,0.57735027
134,195,0.57735027
134,230,0.57735027
136,97,0.57735027
136,127,0.57735027
136,146,0.57735027
136,166,0.57735027
136,167,0.57735027
136,171,0.57735027
137,5,0.57735027
137,28,0.57735027
137,115,0.57735027
137,132,0.57735027
142,199,0.57735027
142,213,0.57735027
144,43,0.57735027
144,67,0.57735027
144,80,0.57735027
144,86,0.57735027
144,91,0.57735027
144,93,0.57735027
147,69,0.57735027
147,75,0.57735027
147,111,0.57735027
147,131,0.57735027
154,107,0.57735027
154,119,0.57735027
154,125,0.57735027
154,157,0.57735027
156,108,0.57735027
156,117,0.57735027
158,52,0.57735027
158,73,0.57735027
159,49,0.57735027
159,88,0.57735027
162,110,0.57735027
162,124,0.57735027
163,128,0.57735027
163,161,0.57735027
169,76,0.57735027
169,77,0.57735027
169,120,0.57735027
169,143,0.57735027
169,147,0.57735027
169,152,0.57735027
170,83,0.57735027
170,100,0.57735027
170,137,0.57735027
170,150,0.57735027
171,106,0.57735027
171,130,0.57735027
171,159,0.57735027
171,162,0.57735027
171,231,0.57735027
173,225,0.57735027
173,232,0.57735027
177,72,0.57735027
177,92,0.57735027
177,101,0.57735027
177,114,0.57735027
179,133,0.57735027
179,156,0.57735027
183,154,0.57735027
183,164,0.57735027
188,163,0.57735027
188,176,0.57735027
191,103,0.57735027
191,116,0.57735027
191,174,0.57735027
191,179,0.57735027
198,212,0.57735027
198,240,0.57735027
206,180,0.57735027
206,224,0.57735027
207,189,0.57735027
207,201,0.57735027
208,182,0.57735027
208,184,0.57735027
208,187,0.57735027
208,202,0.57735027
210,140,0.57735027
210,144,0.57735027
210,183,0.57735027
210,186,0.57735027
215,153,0.57735027
215,220,0.57735027
217,145,0.57735027
217,149,0.57735027
217,165,0.57735027
217,208,0.57735027
223,155,0.57735027
223,207,0.57735027
224,135,0.57735027
224,160,0.57735027
224,197,0.57735027
224,218,0.57735027
231,227,0.57735027
232,172,0.57735027
232,228,0.57735027
234,178,0.57735027
234,206,0.57735027
234,235,0.57735027
234,238,0.57735027
237,217,0.57735027
237,221,0.57735027
